204.2503	-29.8667	 5236	 Gx	13 37.0	-29 52	s	Hya	 	 11.2	 7.6	 	!! vB, vL, E 55deg , esbMN, 3-br spir; = M83      	M  83                              	 5236	
205.5503	+28.3834	 5272	 Gb	13 42.2	+28 23	s	CVn	 	 16.2	 6.4	 	!!, glob. cl. , eB, vL, vsmbM, st 11...; = M3     	M   3                              	 5272	
210.8004	+54.3501	 5457	 Gx	14 03.2	+54 21	s	UMa	 	 26.9	 7.7	 	pB, vL, iR, g, vsmbMBSN; = M101                   	M 101                              	 5457	
229.6504	 +2.0833	 5904	 Gb	15 18.6	+02 05	s	Ser	 	 17.4	 5.8	 	!!, glob. cl. , vB, L, eCM, st 11...15; = M5      	M   5                              	 5904	
244.2504	-22.9833	 6093	 Gb	16 17.0	-22 59	s	Sco	 	  8.9	 7.2	 	!! glob. cl. , vB, L, vmbM (var*), rrr, st 14; = M	M  80                              	 6093	
245.9004	-26.5334	 6121	 Gb	16 23.6	-26 32	s	Sco	 	 26.3	 5.9	 	Cl, 8 or 10 B st line, with 5 st, rrr; = M4       	M   4                              	 6121	
246.4004	-23.4333	I4604	 Nb	16 25.6	-23 26	s	Oph	 	 60.0	    	 	rho Oph in eL neb                                 	rho Oph nebula                     	I4604	
248.1254	-13.0500	 6171	 Gb	16 32.5	-13 03	s	Oph	 	 10.0	 8.1	 	glob. cl. , L, vRi, vmC, R, rrr; = M107           	M 107                              	 6171	
250.4254	+36.4667	 6205	 Gb	16 41.7	+36 28	s	Her	 	 16.6	 5.9	 	!! glob. cl. , eB, vRi, vgeCM, st 11...; = M13    	M  13                              	 6205	
250.4254	+36.4667	 6205	 Gb	16 41.7	+36 28	s	Her	 	 16.6	 5.9	 	!! glob. cl. , eB, vRi, vgeCM, st 11...; = M13    	Great Cluster in Hercules          	 6205	
251.8004	 -1.9500	 6218	 Gb	16 47.2	-01 57	s	Oph	 	 14.5	 6.6	 	!! glob. cl. , vB, vL, iR, gmbM, rrr, st 10...; = 	M  12                              	 6218	
254.2754	 -4.1000	 6254	 Gb	16 57.1	-04 06	s	Oph	 	 15.1	 6.6	 	! glob. cl. , B, vL, R, gvmbM, rrr, st 10...15; = 	M  10                              	 6254	
255.3004	-30.1167	 6266	 Gb	17 01.2	-30 07	s	Oph	 	 14.1	 6.6	 	! glob. cl. , vB, L, gmbM, rrr, st 14...16; = M62 	M  62                              	 6266	
255.6504	-26.2667	 6273	 Gb	17 02.6	-26 16	s	Oph	 	 13.5	 7.2	 	glob. cl. , vB, L, R, vCM, rrr, st 16; = M19      	M  19                              	 6273	
258.4254	-37.1000	 6302	 Pl	17 13.7	-37 06	s	Sco	 	  0.8	13.0	p	pB, E pf, PN                                      	Bug nebula                         	 6302	
258.5254	-12.9167	 6309	 Pl	17 14.1	-12 55	s	Oph	 	  1.1	11.0	p	close Dneb, 160deg , both B, eS                   	Box nebula                         	 6309	
259.2754	+43.1334	 6341	 Gb	17 17.1	+43 08	s	Her	 	 11.2	 6.5	 	glob. cl. , vB, vL, eCM, rrr, st S; = M92         	M  92                              	 6341	
259.8004	-18.5167	 6333	 Gb	17 19.2	-18 31	s	Oph	 	  9.3	 7.9	 	glob. cl. , B, L, R, eCM, rrr, st 14; = M9        	M   9                              	 6333	
264.4004	 -3.2500	 6402	 Gb	17 37.6	-03 15	s	Oph	 	 11.7	 7.6	 	! glob. cl. , B, vL, R, eRi, vgmbM, rrr, st 15; = 	M  14                              	 6402	
265.0254	-32.2167	 6405	 OC	17 40.1	-32 13	s	Sco	 	 15.0	 4.2	 	Cl, L, iR, lC, st 7, 10...; = M6                  	M   6                              	 6405	
265.0254	-32.2167	 6405	 OC	17 40.1	-32 13	s	Sco	 	 15.0	 4.2	 	Cl, L, iR, lC, st 7, 10...; = M6                  	Butterfly cluster                  	 6405	
267.3004	-20.0167	 6445	 Pl	17 49.2	-20 01	s	Sgr	 	  0.6	13.0	p	pB, pS, R, gbM, r, *15 np                         	Little Gem                         	 6445	
